0,4.0,4.0
10000,2.0,2.936
20000,3.0,2.924
30000,3.0,2.971
40000,2.0,2.913
50000,2.0,2.872
60000,2.0,1.571
70000,3.0,2.855
80000,2.0,2.884
90000,2.0,3.307
100000,2.0,3.278
110000,6.0,3.155
120000,1.0,1.846
130000,3.0,3.071
140000,2.0,2.867
150000,3.0,2.953
160000,7.0,2.983
170000,5.0,2.96
180000,2.0,2.957
190000,3.0,3.058
200000,3.0,3.185
210000,3.0,2.935
220000,2.0,2.989
230000,3.0,2.997
240000,3.0,2.969
250000,2.0,2.958
260000,3.0,2.976
270000,3.0,2.8
280000,6.0,2.159
290000,3.0,2.473
300000,3.0,2.979
310000,3.0,3.266
320000,3.0,3.237
330000,3.0,2.952
340000,28.0,378.18
350000,207.0,455.816
360000,118.0,398.14
370000,30.0,405.873
380000,901.0,370.941
390000,58.0,340.179
400000,9.0,369.314
410000,9.0,361.59
420000,5.0,351.343
430000,1240.0,202.914
440000,46.0,367.613
450000,457.0,340.449
460000,192.0,337.315
470000,7.0,276.425
480000,1811.0,423.256
490000,866.0,138.411
500000,713.0,504.869
510000,156.0,465.217
520000,5.0,415.2
530000,115.0,541.116
540000,138.0,727.759
550000,26.0,357.881
560000,93.0,330.398
570000,119.0,365.724
580000,4275.0,313.25
590000,134.0,324.94
600000,8.0,160.367
610000,279.0,205.976
620000,72.0,778.161
630000,40.0,234.283
640000,221.0,579.575
650000,2539.0,796.853
660000,45.0,518.638
670000,35.0,331.437
680000,504.0,421.313
690000,38.0,379.851
700000,581.0,352.879
710000,127.0,349.527
720000,12.0,242.732
730000,43.0,316.797
740000,122.0,455.385
750000,866.0,529.631
