0,6.0,6.0
10000,4.0,4.471
20000,2.0,2.814
30000,2.0,2.916
40000,3.0,2.891
50000,2.0,2.851
60000,4.0,2.806
70000,3.0,2.957
80000,4.0,4.612
90000,3.0,2.801
100000,2.0,2.769
110000,3.0,2.9
120000,3.0,2.895
130000,2.0,2.804
140000,2.0,2.814
150000,2.0,2.929
160000,4.0,2.911
170000,3.0,2.76
180000,3.0,3.084
190000,2.0,3.099
200000,2.0,3.055
210000,3.0,3.119
220000,3.0,3.317
230000,2.0,3.764
240000,3.0,3.051
250000,4.0,4.556
260000,2.0,2.79
270000,1.0,2.947
280000,3.0,3.191
290000,3.0,3.305
300000,2.0,3.255
310000,3.0,3.261
320000,3.0,3.239
330000,3.0,2.983
340000,72.0,2562.224
350000,119.0,1356.415
360000,5.0,853.277
370000,429.0,1059.463
380000,91.0,1036.925
390000,1089.0,762.914
400000,1122.0,1773.607
410000,5.0,915.569
420000,39.0,505.258
430000,6.0,919.168
440000,198.0,672.414
450000,189.0,954.072
460000,381.0,1130.266
470000,44.0,561.554
480000,8.0,1037.762
490000,22.0,831.195
500000,154.0,957.932
510000,5.0,1544.003
520000,56.0,2768.811
530000,34.0,2375.463
540000,88.0,1471.32
550000,7.0,2023.573
560000,57.0,1222.658
570000,77.0,1541.626
580000,6.0,1775.08
590000,16.0,1275.969
600000,125.0,2477.456
610000,226.0,2072.379
620000,18.0,1132.654
630000,7.0,1495.457
640000,21437.0,2637.08
650000,119.0,1498.47
660000,28.0,2293.198
670000,9.0,2060.402
680000,97.0,2822.119
690000,235.0,1818.815
700000,6370.0,1864.021
710000,32.0,2342.374
720000,37.0,561.946
730000,10.0,703.955
740000,29.0,574.777
